# Bend, Stretch, theta1, theta1_predicted, error1, theta2, theta2_predicted, error2
14.59,2.33,15.16,15.22,0.05,1.90,5.27,3.36
14.84,2.39,15.21,15.44,0.23,1.89,5.15,3.26
15.06,2.39,15.24,15.76,0.52,1.92,5.13,3.21
14.98,2.50,15.30,15.50,0.20,1.95,4.93,2.98
15.19,2.50,15.39,15.79,0.40,2.12,4.89,2.78
15.66,2.72,15.46,16.18,0.72,2.23,4.41,2.18
15.95,2.72,15.54,16.56,1.02,2.40,4.41,2.01
16.20,2.72,15.52,16.84,1.32,2.95,4.47,1.52
18.84,3.20,15.43,15.94,0.52,3.18,5.61,2.44
19.56,3.20,15.30,15.39,0.09,3.53,6.18,2.65
21.17,3.12,15.19,14.95,0.24,3.77,6.89,3.12
22.66,3.12,14.65,14.82,0.17,4.78,7.22,2.45
23.95,3.30,14.50,14.60,0.10,5.18,7.40,2.22
25.20,3.30,14.33,14.57,0.25,5.74,7.67,1.92
27.14,3.30,14.00,14.53,0.53,7.71,8.08,0.36
30.81,4.39,13.89,11.60,2.29,8.58,12.01,3.43
30.45,4.39,13.83,11.48,2.36,9.47,12.20,2.73
30.05,5.08,13.73,12.87,0.87,12.36,12.45,0.10
28.41,5.08,13.70,13.46,0.24,13.43,13.36,0.07
31.00,5.94,13.59,15.42,1.83,15.73,12.74,2.98
33.02,5.94,13.60,15.04,1.44,16.82,12.51,4.31
34.62,5.94,13.39,15.70,2.31,20.71,11.04,9.67
39.73,6.92,13.37,19.82,6.45,22.16,7.41,14.75
40.66,6.92,13.27,18.00,4.73,23.72,10.08,13.64
43.30,7.53,13.17,15.01,1.84,29.10,30.19,1.09
44.88,7.53,13.21,13.41,0.19,31.40,38.99,7.59
50.23,8.28,13.28,14.37,1.09,37.04,31.24,5.80
52.03,8.28,13.33,14.32,0.99,40.26,26.29,13.97
54.12,8.28,13.55,16.16,2.61,50.95,23.97,26.98
57.52,9.72,13.69,15.52,1.84,54.79,49.42,5.37
60.02,9.72,13.81,13.91,0.10,58.74,64.63,5.89
61.80,9.72,14.10,13.38,0.72,71.09,70.30,0.79
64.77,11.02,14.23,13.71,0.53,75.14,75.87,0.73
66.84,11.02,14.59,12.67,1.93,83.48,75.73,7.75
69.53,11.95,14.77,15.20,0.43,87.95,90.30,2.34
70.86,11.95,15.18,15.51,0.33,101.38,92.94,8.44
75.33,13.33,15.39,14.98,0.41,105.46,97.01,8.45
77.50,13.33,15.54,16.36,0.82,109.54,107.23,2.31
78.64,13.33,16.03,17.01,0.98,119.57,114.36,5.21
82.55,14.81,16.17,14.62,1.56,122.20,109.16,13.03
82.95,14.81,16.50,14.69,1.81,126.63,110.35,16.28
83.73,15.55,16.68,15.39,1.29,128.42,98.86,29.56
86.66,15.55,17.30,15.82,1.48,132.16,111.45,20.71
91.73,16.56,17.46,16.82,0.64,133.30,116.65,16.65
94.44,16.56,17.65,16.64,1.00,134.43,129.91,4.51
96.56,16.56,18.26,16.84,1.42,137.08,131.58,5.50
99.38,17.52,18.52,17.39,1.13,137.59,133.46,4.13
96.81,17.52,19.03,17.47,1.56,138.53,132.74,5.79
105.84,18.00,19.30,18.69,0.60,138.88,135.48,3.39
108.84,18.00,20.17,19.27,0.90,139.54,136.68,2.87
113.50,18.78,20.42,20.01,0.41,139.74,136.64,3.10
114.31,18.78,20.64,20.10,0.54,139.90,137.05,2.85
102.16,18.78,21.09,19.92,1.17,140.37,132.30,8.07
118.45,19.05,21.10,20.71,0.39,140.56,138.39,2.17
115.94,19.05,21.11,20.43,0.69,140.67,137.10,3.57
111.98,19.00,20.95,20.42,0.53,140.68,136.13,4.55
112.91,19.00,20.21,20.32,0.11,140.41,136.34,4.08
102.59,18.23,19.87,18.83,1.04,140.12,134.13,5.99
105.50,18.23,19.40,18.67,0.73,139.52,134.75,4.78
102.86,18.23,17.55,18.84,1.29,135.80,134.25,1.55
101.78,18.23,16.93,18.81,1.87,134.15,133.75,0.39
90.36,18.23,15.82,24.25,8.44,128.79,123.69,5.10
85.34,15.02,15.29,15.46,0.17,124.91,116.76,8.15
84.47,15.02,14.00,15.09,1.08,112.26,112.26,0.00
81.64,15.02,13.81,14.41,0.59,107.46,99.91,7.55
66.72,12.67,13.64,12.69,0.96,101.59,73.80,27.79
65.58,12.67,13.14,12.80,0.34,81.33,69.35,11.98
60.84,11.95,13.11,14.08,0.97,74.99,66.73,8.26
55.08,11.95,13.04,26.36,13.32,62.40,20.17,42.23
47.08,9.53,13.02,26.26,13.24,55.88,9.97,45.91
43.19,9.53,12.97,25.32,12.35,39.52,11.38,28.14
40.22,9.53,12.98,21.99,9.02,35.72,12.01,23.71
32.52,7.38,12.97,20.57,7.60,32.49,11.65,20.84
